j,i,value
8,48,0.0
10,0,0.0
10,2,0.0
10,4,0.0
10,6,0.0
10,8,0.0
10,10,0.0
10,12,0.0
10,14,0.0
10,16,0.0
10,18,0.0
10,20,0.0
10,22,0.0
10,24,0.0
10,26,0.0
10,28,0.0
10,30,0.0
10,32,0.0
10,34,0.0
10,36,0.0
10,38,0.0
10,40,0.0
10,42,0.0
10,44,0.0
10,46,0.0
10,48,0.0
12,0,0.0
12,2,0.0
12,4,0.0
12,6,0.0
12,8,0.0
12,10,0.0
12,12,0.0
12,14,0.0
12,16,0.0
12,18,0.0
12,20,0.0
12,22,0.0
12,24,0.0
12,26,0.0
12,28,0.0
12,30,0.0
12,32,0.0
12,34,0.0
12,36,0.0
12,38,0.0
12,40,0.0
12,42,0.0
12,44,0.0
12,46,0.0
12,48,0.0
14,0,0.0
14,2,0.0
14,4,0.0
14,6,0.0
14,8,0.0
14,10,0.0
14,12,0.0
14,14,0.0
14,16,0.0
14,18,0.0
14,20,0.0
14,22,0.0
14,24,0.0
14,26,0.0
14,28,0.0
14,30,0.0
14,32,0.0
14,34,0.0
14,36,0.0
14,38,0.0
14,40,0.0
14,42,0.0
14,44,0.0
14,46,0.0
14,48,0.0
16,0,0.0
16,2,0.0
16,4,0.0
16,6,0.0
16,8,0.0
16,10,0.0
16,12,0.0
16,14,0.0
16,16,0.0
16,18,0.0
16,20,0.0
16,22,0.0
16,24,0.0
16,26,0.0
16,28,0.0
16,30,0.0
16,32,0.0
16,34,0.0
16,36,0.0
16,38,0.0
16,40,0.0
16,42,0.0
16,44,0.0
16,46,0.0
16,48,0.0
18,0,0.0
18,2,0.0
18,4,0.0
18,6,0.0
18,8,0.0
18,10,0.0
18,12,0.0
18,14,0.0
18,16,0.0
18,18,0.0
18,20,0.0
18,22,0.0
18,24,0.0
18,26,0.0
18,28,0.0
18,30,0.0
18,32,0.0
18,34,0.0
18,36,0.0
18,38,0.0
18,40,0.0
18,42,0.0
18,44,0.0
18,46,0.0
18,48,0.0
20,0,0.0
20,2,0.0
20,4,0.0
20,6,0.0
20,8,0.0
20,10,0.0
20,12,0.0
20,14,0.0
20,16,0.0
20,18,0.0
20,20,0.0
20,22,0.0
20,24,0.0
20,26,0.0
20,28,0.0
20,30,0.0
20,32,0.0
20,34,0.0
20,36,0.0
20,38,0.0
20,40,0.0
20,42,0.0
20,44,0.0
20,46,0.0
20,48,0.0
22,0,0.0
22,2,0.0
22,4,0.0
22,6,0.0
22,8,0.0
22,10,0.0
22,12,0.0
22,14,0.0
22,16,0.0
22,18,0.0
22,20,0.0
22,22,0.0
22,24,0.0
22,26,0.0
22,28,0.0
22,30,0.0
22,32,0.0
22,34,0.0
22,36,0.0
22,38,0.0
22,40,0.0
22,42,0.0
22,44,0.0
22,46,0.0
22,48,0.0
24,0,0.0
24,2,0.0
24,4,0.0
24,6,0.0
24,8,0.0
24,10,0.0
24,12,0.0
24,14,0.0
24,16,0.0
24,18,0.0
24,20,0.0
24,22,0.0
24,24,0.0
24,26,0.0
24,28,0.0
24,30,0.0
24,32,0.0
24,34,0.0
24,36,0.0
24,38,0.0
24,40,0.0
24,42,0.0
24,44,0.0
24,46,0.0
24,48,0.0
26,0,0.0
26,2,0.0
26,4,0.0
26,6,0.0
26,8,0.0
26,10,0.0
26,12,0.0
26,14,0.0
26,16,0.0
26,18,0.0
26,20,0.0
26,22,0.0
26,24,0.0
26,26,0.0
26,28,0.0
26,30,0.0
26,32,0.0
26,34,0.0
26,36,0.0
26,38,0.0
26,40,0.0
26,42,0.0
26,44,0.0
26,46,0.0
26,48,0.0
28,0,0.0
28,2,0.0
28,4,0.0
28,6,0.0
28,8,0.0
28,10,0.0
28,12,0.0
28,14,0.0
28,16,0.0
28,18,0.0
28,20,0.0
28,22,0.0
28,24,0.0
28,26,0.0
28,28,0.0
28,30,0.0
28,32,0.0
28,34,0.0
28,36,0.0
28,38,0.0
28,40,0.0
28,42,0.0
28,44,0.0
28,46,0.0
28,48,0.0
30,0,0.0
30,2,0.0
30,4,0.0
30,6,0.0
30,8,0.0
30,10,0.0
30,12,0.0
30,14,0.0
30,16,0.0
30,18,0.0
30,20,0.0
30,22,0.0
30,24,0.0
30,26,0.0
30,28,0.0
30,30,0.0
30,32,0.0
30,34,0.0
30,36,0.0
30,38,0.0
30,40,0.0
30,42,0.0
30,44,0.0
30,46,0.0
30,48,0.0
32,0,0.0
32,2,0.0
32,4,0.0
32,6,0.0
32,8,0.0
32,10,0.0
32,12,0.0
32,14,0.0
32,16,0.0
32,18,0.0
32,20,0.0
32,22,0.0
32,24,0.0
32,26,0.0
32,28,0.0
32,30,0.0
32,32,0.0
32,34,0.0
32,36,0.0
32,38,0.0
32,40,0.0
32,42,0.0
32,44,0.0
32,46,0.0
32,48,0.0
34,0,0.0
34,2,0.0
34,4,0.0
34,6,0.0
34,8,0.0
34,10,0.0
34,12,0.0
34,14,0.0
34,16,0.0
34,18,0.0
34,20,0.0
34,22,0.0
34,24,0.0
34,26,0.0
34,28,0.0
34,30,0.0
34,32,0.0
34,34,0.0
34,36,0.0
34,38,0.0
34,40,0.0
34,42,0.0
34,44,0.0
34,46,0.0
34,48,0.0
36,0,0.0
36,2,0.0
36,4,0.0
36,6,0.0
36,8,0.0
36,10,0.0
36,12,0.0
36,14,0.0
36,16,0.0
36,18,0.0
36,20,0.0
36,22,0.0
36,24,0.0
36,26,0.0
36,28,0.0
36,30,0.0
36,32,0.0
36,34,0.0
36,36,0.0
36,38,0.0
36,40,0.0
36,42,0.0
36,44,0.0
36,46,0.0
36,48,0.0
38,0,0.0
38,2,0.0
38,4,0.0
38,6,0.0
38,8,0.0
38,10,0.0
38,12,0.0
38,14,0.0
38,16,0.0
38,18,0.0
38,20,0.0
38,22,0.0
38,24,0.0
38,26,0.0
38,28,0.0
38,30,0.0
38,32,0.0
38,34,0.0
38,36,0.0
38,38,0.0
38,40,0.0
38,42,0.0
38,44,0.0
38,46,0.0
38,48,0.0
40,0,0.0
40,2,0.0
40,4,0.0
40,6,0.0
40,8,0.0
40,10,0.0
40,12,0.0
40,14,0.0
40,16,0.0
40,18,0.0
40,20,0.0
40,22,0.0
40,24,0.0
40,26,0.0
40,28,0.0
40,30,0.0
40,32,0.0
40,34,0.0
40,36,0.0
40,38,0.0
40,40,0.0
40,42,0.0
40,44,0.0
40,46,0.0
40,48,0.0
42,0,0.0
42,2,0.0
42,4,0.0
42,6,0.0
42,8,0.0
42,10,0.0
42,12,0.0
42,14,0.0
42,16,0.0
42,18,0.0
42,20,0.0
42,22,0.0
42,24,0.0
42,26,0.0
42,28,0.0
42,30,0.0
42,32,0.0
42,34,0.0
42,36,0.0
42,38,0.0
42,40,0.0
42,42,0.0
42,44,0.0
42,46,0.0
42,48,0.0
44,0,0.0
44,2,0.0
44,4,0.0
44,6,0.0
44,8,0.0
44,10,0.0
44,12,0.0
44,14,0.0
44,16,0.0
44,18,0.0
44,20,0.0
44,22,0.0
44,24,0.0
44,26,0.0
44,28,0.0
44,30,0.0
44,32,0.0
44,34,0.0
44,36,0.0
44,38,0.0
44,40,0.0
44,42,0.0
44,44,0.0
44,46,0.0
44,48,0.0
46,0,0.0
46,2,0.0
46,4,0.0
46,6,0.0
46,8,0.0
46,10,0.0
46,12,0.0
46,14,0.0
46,16,0.0
46,18,0.0
46,20,0.0
46,22,0.0
46,24,0.0
46,26,0.0
46,28,0.0
46,30,0.0
46,32,0.0
46,34,0.0
46,36,0.0
46,38,0.0
46,40,0.0
46,42,0.0
46,44,0.0
46,46,0.0
46,48,0.0
48,0,0.0
48,2,0.0
48,4,0.0
48,6,0.0
48,8,0.0
48,10,0.0
48,12,0.0
48,14,0.0
48,16,0.0
48,18,0.0
48,20,0.0
48,22,0.0
48,24,0.0
48,26,0.0
48,28,0.0
48,30,0.0
48,32,0.0
48,34,0.0
48,36,0.0
48,38,0.0
48,40,0.0
48,42,0.0
48,44,0.0
48,46,0.0
48,48,0.0
